事例:Athens Greece Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7137669920921326
事例:Berlin Germany Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6773226857185364
事例:Berlin Germany Paris France, 正解単語:France, 求めた単語・類似度:France・0.7884092926979065
事例:Berlin Germany Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.7509608268737793
事例:Berlin Germany Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.8022658228874207
事例:Berlin Germany Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7747757434844971
事例:Berlin Germany Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7969788312911987
事例:Berlin Germany Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6390470862388611
事例:Berlin Germany Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.686406135559082
事例:Berlin Germany Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7680835127830505
事例:Berlin Germany Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7755853533744812
事例:Bern Switzerland Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.5989274978637695
事例:Bern Switzerland Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6860506534576416
事例:Bern Switzerland Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.5609371066093445
事例:Bern Switzerland Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6295959949493408
事例:Bern Switzerland Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.6637659072875977
事例:Bern Switzerland Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.6708024144172668
事例:Bern Switzerland Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghanistan・0.5338183641433716
事例:Bern Switzerland London England, 正解単語:England, 求めた単語・類似度:EURASIAN_NATURAL_RESOURCES_CORP.・0.5463826656341553
事例:Bern Switzerland Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6423718333244324
事例:Bern Switzerland Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.6487589478492737
事例:Bern Switzerland Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6448377966880798
事例:Bern Switzerland Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6468112468719482
事例:Bern Switzerland Paris France, 正解単語:France, 求めた単語・類似度:France・0.6129553914070129
事例:Bern Switzerland Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6486327052116394
事例:Bern Switzerland Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.6849664449691772
事例:Bern Switzerland Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.6813836097717285
事例:Bern Switzerland Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.6434275507926941
事例:Bern Switzerland Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.5800099968910217
事例:Bern Switzerland Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraqi・0.5730240941047668
事例:Bern Switzerland Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.6617313623428345
事例:Bern Switzerland Beijing China, 正解単語:China, 求めた単語・類似度:China・0.6225298643112183
事例:Bern Switzerland Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7138351202011108
事例:Cairo Egypt Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6811555027961731
事例:Cairo Egypt Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7589392066001892
事例:Cairo Egypt Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.7639017105102539
事例:Cairo Egypt Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.7256742119789124
事例:Cairo Egypt Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.8155920505523682
事例:Cairo Egypt Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6829640865325928
事例:Cairo Egypt London England, 正解単語:England, 求めた単語・類似度:Britain・0.6454267501831055
事例:Cairo Egypt Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7469133734703064
事例:Cairo Egypt Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8426570892333984
事例:Cairo Egypt Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6975642442703247
事例:Cairo Egypt Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6659149527549744
事例:Cairo Egypt Paris France, 正解単語:France, 求めた単語・類似度:France・0.7114197611808777
事例:Cairo Egypt Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6812828779220581
事例:Cairo Egypt Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7365161776542664
事例:Cairo Egypt Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8531846404075623
事例:Cairo Egypt Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7753520011901855
事例:Cairo Egypt Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.7355356216430664
事例:Cairo Egypt Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraqi・0.7208045721054077
事例:Cairo Egypt Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.8275744318962097
事例:Cairo Egypt Beijing China, 正解単語:China, 求めた単語・類似度:China・0.806604266166687
事例:Cairo Egypt Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7016905546188354
事例:Cairo Egypt Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.4930407404899597
事例:Canberra Australia Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6714490652084351
事例:Canberra Australia Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6964417695999146
事例:Canberra Australia Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.690654993057251
事例:Canberra Australia Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7743955850601196
事例:Canberra Australia Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghans・0.5854719877243042
事例:Canberra Australia London England, 正解単語:England, 求めた単語・類似度:UK・0.6224532723426819
事例:Canberra Australia Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7410276532173157
事例:Canberra Australia Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7891086339950562
事例:Canberra Australia Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6703749299049377
事例:Canberra Australia Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.7492120265960693
事例:Canberra Australia Paris France, 正解単語:France, 求めた単語・類似度:France・0.7159996032714844
事例:Canberra Australia Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.663947343826294
事例:Canberra Australia Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7069719433784485
事例:Canberra Australia Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7551094889640808
事例:Canberra Australia Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7584798336029053
事例:Canberra Australia Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.5700702667236328
事例:Canberra Australia Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.6397027969360352
事例:Canberra Australia Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7358657717704773
事例:Canberra Australia Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7823367714881897
事例:Canberra Australia Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7441055774688721
事例:Canberra Australia Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5360245108604431
事例:Canberra Australia Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.6859404444694519
事例:Hanoi Vietnam Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6831811666488647
事例:Hanoi Vietnam Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.5732652544975281
事例:Hanoi Vietnam Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7073384523391724
事例:Hanoi Vietnam Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghanistan・0.7566174864768982
事例:Hanoi Vietnam London England, 正解単語:England, 求めた単語・類似度:Britain・0.5320746302604675
事例:Hanoi Vietnam Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6318690180778503
事例:Hanoi Vietnam Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.6925883293151855
事例:Hanoi Vietnam Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.5300316214561462
事例:Hanoi Vietnam Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.5802633166313171
事例:Hanoi Vietnam Paris France, 正解単語:France, 求めた単語・類似度:France・0.5821924209594727
事例:Hanoi Vietnam Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.5208398699760437
事例:Hanoi Vietnam Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.5909289717674255
事例:Hanoi Vietnam Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7381366491317749
事例:Hanoi Vietnam Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.6836793422698975
事例:Hanoi Vietnam Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.5295498967170715
事例:Hanoi Vietnam Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraq・0.7784610986709595
事例:Hanoi Vietnam Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.694861888885498
事例:Hanoi Vietnam Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7234392762184143
事例:Hanoi Vietnam Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.5970562100410461
事例:Hanoi Vietnam Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Bern_NC・0.497576504945755
事例:Hanoi Vietnam Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.70243239402771
事例:Hanoi Vietnam Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6169843673706055
事例:Havana Cuba Helsinki Finland, 正解単語:Finland, 求めた単語・類似度:Finland・0.6971813440322876
事例:Havana Cuba Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.812371551990509
事例:Havana Cuba Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghanistan・0.7092918157577515
事例:Havana Cuba London England, 正解単語:England, 求めた単語・類似度:Britain・0.6217108964920044
事例:Havana Cuba Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6929836869239807
事例:Havana Cuba Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.8237830400466919
事例:Havana Cuba Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7030717134475708
事例:Havana Cuba Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.656257688999176
事例:Havana Cuba Paris France, 正解単語:France, 求めた単語・類似度:France・0.6843083500862122
事例:Havana Cuba Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6025851368904114
事例:Havana Cuba Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7303112745285034
事例:Havana Cuba Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8635510206222534
事例:Havana Cuba Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7725998759269714
事例:Havana Cuba Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.632399320602417
事例:Havana Cuba Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraq・0.7371042966842651
事例:Havana Cuba Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7950247526168823
事例:Havana Cuba Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7704688906669617
事例:Havana Cuba Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.6952270865440369
事例:Havana Cuba Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.502707302570343
事例:Havana Cuba Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7647275924682617
事例:Havana Cuba Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6877731680870056
事例:Havana Cuba Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.7109317779541016
事例:Helsinki Finland Islamabad Pakistan, 正解単語:Pakistan, 求めた単語・類似度:Pakistan・0.7291182279586792
事例:Helsinki Finland Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.6359645128250122
事例:Helsinki Finland London England, 正解単語:England, 求めた単語・類似度:Britain・0.6623522043228149
事例:Helsinki Finland Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.7539469003677368
事例:Helsinki Finland Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.7918932437896729
事例:Helsinki Finland Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.7523171305656433
事例:Helsinki Finland Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6696931719779968
事例:Helsinki Finland Paris France, 正解単語:France, 求めた単語・類似度:France・0.7549224495887756
事例:Helsinki Finland Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6867628693580627
事例:Helsinki Finland Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.8256370425224304
事例:Helsinki Finland Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.7732709646224976
事例:Helsinki Finland Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.80302494764328
事例:Helsinki Finland Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6566227078437805
事例:Helsinki Finland Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Mosul・0.6506971716880798
事例:Helsinki Finland Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.752036452293396
事例:Helsinki Finland Beijing China, 正解単語:China, 求めた単語・類似度:China・0.7568844556808472
事例:Helsinki Finland Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7419473528862
事例:Helsinki Finland Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.5047451257705688
事例:Helsinki Finland Cairo Egypt, 正解単語:Egypt, 求めた単語・類似度:Egypt・0.7302724719047546
事例:Helsinki Finland Canberra Australia, 正解単語:Australia, 求めた単語・類似度:Australia・0.6987783312797546
事例:Helsinki Finland Hanoi Vietnam, 正解単語:Vietnam, 求めた単語・類似度:Viet_Nam・0.6931595206260681
事例:Helsinki Finland Havana Cuba, 正解単語:Cuba, 求めた単語・類似度:Cuba・0.6899741888046265
事例:Islamabad Pakistan Kabul Afghanistan, 正解単語:Afghanistan, 求めた単語・類似度:Afghan・0.7332904934883118
事例:Islamabad Pakistan London England, 正解単語:England, 求めた単語・類似度:Britain・0.6056548953056335
事例:Islamabad Pakistan Madrid Spain, 正解単語:Spain, 求めた単語・類似度:Spain・0.6914529800415039
事例:Islamabad Pakistan Moscow Russia, 正解単語:Russia, 求めた単語・類似度:Russia・0.831927478313446
事例:Islamabad Pakistan Oslo Norway, 正解単語:Norway, 求めた単語・類似度:Norway・0.6795673966407776
事例:Islamabad Pakistan Ottawa Canada, 正解単語:Canada, 求めた単語・類似度:Canada・0.6421677470207214
事例:Islamabad Pakistan Paris France, 正解単語:France, 求めた単語・類似度:France・0.6944430470466614
事例:Islamabad Pakistan Rome Italy, 正解単語:Italy, 求めた単語・類似度:Italy・0.6518086194992065
事例:Islamabad Pakistan Stockholm Sweden, 正解単語:Sweden, 求めた単語・類似度:Sweden・0.7098784446716309
事例:Islamabad Pakistan Tehran Iran, 正解単語:Iran, 求めた単語・類似度:Iran・0.8605972528457642
事例:Islamabad Pakistan Tokyo Japan, 正解単語:Japan, 求めた単語・類似度:Japan・0.7747603058815002
事例:Islamabad Pakistan Athens Greece, 正解単語:Greece, 求めた単語・類似度:Greece・0.6418431401252747
事例:Islamabad Pakistan Baghdad Iraq, 正解単語:Iraq, 求めた単語・類似度:Iraqi・0.7481118440628052
事例:Islamabad Pakistan Bangkok Thailand, 正解単語:Thailand, 求めた単語・類似度:Thailand・0.7783142328262329
事例:Islamabad Pakistan Beijing China, 正解単語:China, 求めた単語・類似度:China・0.8079829812049866
事例:Islamabad Pakistan Berlin Germany, 正解単語:Germany, 求めた単語・類似度:Germany・0.7216540575027466
事例:Islamabad Pakistan Bern Switzerland, 正解単語:Switzerland, 求めた単語・類似度:Switzerland・0.49683260917663574
